ItemIndex,Stimulus
1,bat
2,rooster
3,crab
4,dragon
5,ladybug
6,tortoise
7,whale
8,ant
9,butterfly
10,bear
11,bee
12,camel
13,cat
14,caterpillar
15,cow
16,deer
17,dog
18,duck
19,eagle
20,elephant
21,fish
22,fly
23,fox
24,frog
25,giraffe
26,gorilla
27,goat
28,horse
29,kangaroo
30,lion
31,lobster
32,monkey
33,mouse
34,ostrich
35,owl
36,peacock
37,penguin
38,pig
39,rabbit
40,racoon
41,rhinoceros
42,seahorse
43,sheep
44,snail
45,snake
46,spider
47,squirrel
48,swan
49,tiger
50,zebra
51,cymbals
52,shell
53,ski
54,slide
55,tractor
56,web
57,yo-yo
58,airplane
59,anchor
60,barrel
61,basket
62,bell
63,cake
64,cannon
65,chain
66,church
67,cigar
68,clock
69,crown
70,dress
71,drum
72,fence
73,flute
74,glove
75,guitar
76,gun
77,hammer
78,harp
79,helicopter
80,iron
81,kite
82,ladder
83,mitten
84,motorbike
85,nut
86,piano
87,pram
88,skirt
89,sledge
90,snowman
91,suitcase
92,swing
93,toaster
94,train
95,trumpet
96,vase
97,violin
98,wheel
99,whistle
100,windmill
